bill_id,thomas_id
hconres1-111,1069
hconres2-111,367
hconres2-111,1474
hconres2-111,1723
hconres2-111,1945
hconres3-111,1042
hconres4-111,910
hconres4-111,1481
hconres4-111,1879
hconres5-111,588
hconres6-111,588
hconres7-111,588
hconres8-111,588
hconres9-111,588
hconres10-111,588
hconres11-111,588
hconres12-111,1878
hconres13-111,381
hconres13-111,587
hconres13-111,616
hconres13-111,868
hconres13-111,1794
hconres14-111,82
hconres14-111,91
hconres14-111,132
hconres14-111,183
hconres14-111,211
hconres14-111,256
hconres14-111,316
hconres14-111,344
hconres14-111,368
hconres14-111,381
hconres14-111,407
hconres14-111,448
hconres14-111,462
hconres14-111,478
hconres14-111,511
hconres14-111,541
hconres14-111,550
hconres14-111,587
hconres14-111,627
hconres14-111,631
hconres14-111,635
hconres14-111,683
hconres14-111,688
hconres14-111,735
hconres14-111,766
hconres14-111,773
hconres14-111,808
hconres14-111,832
hconres14-111,850
hconres14-111,868
hconres14-111,893
hconres14-111,902
hconres14-111,910
hconres14-111,930
hconres14-111,1003
hconres14-111,1037
hconres14-111,1042
hconres14-111,1071
hconres14-111,1092
hconres14-111,1101
hconres14-111,1209
hconres14-111,1222
hconres14-111,1238
hconres14-111,1242
hconres14-111,1255
hconres14-111,1464
hconres14-111,1466
hconres14-111,1469
hconres14-111,1471
hconres14-111,1474
hconres14-111,1477
hconres14-111,1479
hconres14-111,1481
hconres14-111,1499
hconres14-111,1501
hconres14-111,1504
hconres14-111,1506
hconres14-111,1522
hconres14-111,1528
hconres14-111,1533
hconres14-111,1555
hconres14-111,1558
hconres14-111,1561
hconres14-111,1583
hconres14-111,1588
hconres14-111,1596
hconres14-111,1598
hconres14-111,1602
hconres14-111,1614
hconres14-111,1634
hconres14-111,1635
hconres14-111,1641
hconres14-111,1645
hconres14-111,1653
hconres14-111,1654
hconres14-111,1663
hconres14-111,1664
hconres14-111,1667
hconres14-111,1668
hconres14-111,1675
hconres14-111,1682
hconres14-111,1722
hconres14-111,1723
hconres14-111,1727
hconres14-111,1729
hconres14-111,1730
hconres14-111,1732
hconres14-111,1735
hconres14-111,1742
hconres14-111,1751
hconres14-111,1756
hconres14-111,1780
hconres14-111,1789
hconres14-111,1798
hconres14-111,1809
hconres14-111,1814
hconres14-111,1833
hconres14-111,1839
hconres14-111,1844
hconres14-111,1849
hconres14-111,1857
hconres14-111,1861
hconres14-111,1862
hconres14-111,1870
hconres14-111,1871
hconres14-111,1873
hconres14-111,1874
hconres14-111,1878
hconres14-111,1883
hconres14-111,1886
hconres14-111,1889
hconres14-111,1894
hconres14-111,1943
hconres14-111,1945
hconres14-111,1948
hconres14-111,1959
hconres15-111,1501
hconres15-111,1506
hconres15-111,1614
hconres16-111,154
hconres16-111,165
hconres16-111,603
hconres16-111,693
hconres16-111,733
hconres16-111,849
hconres16-111,912
hconres16-111,979
hconres16-111,985
hconres16-111,998
hconres16-111,1071
hconres16-111,1199
hconres16-111,1238
hconres16-111,1256
hconres16-111,1487
hconres16-111,1647
hconres16-111,1649
hconres16-111,1669
hconres16-111,1704
hconres16-111,1713
hconres16-111,1731
hconres16-111,1732
hconres16-111,1733
hconres16-111,1745
hconres16-111,1791
hconres16-111,1802
hconres16-111,1804
hconres16-111,1816
hconres16-111,1834
hconres16-111,1859
hconres16-111,1916
hconres16-111,1920
hconres16-111,1924
hconres16-111,1936
hconres16-111,1956
hconres17-111,91
hconres17-111,132
hconres17-111,688
hconres17-111,902
hconres17-111,944
hconres17-111,1003
hconres17-111,1205
hconres17-111,1207
hconres17-111,1474
hconres17-111,1501
hconres17-111,1811
hconres17-111,1864
hconres18-111,21
hconres18-111,154
hconres18-111,603
hconres18-111,693
hconres18-111,711
hconres18-111,910
hconres18-111,1043
hconres18-111,1101
hconres18-111,1514
hconres18-111,1525
hconres18-111,1527
hconres18-111,1670
hconres18-111,1689
hconres18-111,1732
hconres18-111,1733
hconres18-111,1737
hconres18-111,1778
hconres18-111,1791
hconres18-111,1792
hconres18-111,1796
hconres18-111,1802
hconres18-111,1804
hconres18-111,1806
hconres18-111,1834
hconres18-111,1858
hconres18-111,1915
hconres18-111,1924
hconres18-111,1944
hconres19-111,1802
hconres20-111,367
hconres20-111,368
hconres20-111,381
hconres20-111,541
hconres20-111,582
hconres20-111,599
hconres20-111,688
hconres20-111,701
hconres20-111,1069
hconres20-111,1242
hconres20-111,1499
hconres20-111,1501
hconres20-111,1504
hconres20-111,1564
hconres20-111,1588
