bill_id,thomas_id
hconres1-95,1244
hconres2-95,1244
hconres3-95,1104
hconres4-95,23
hconres5-95,23
hconres6-95,23
hconres7-95,31
hconres8-95,31
hconres9-95,104
hconres10-95,104
hconres11-95,234
hconres12-95,280
hconres13-95,280
hconres14-95,290
hconres15-95,318
hconres16-95,318
hconres17-95,318
hconres18-95,318
hconres19-95,490
hconres20-95,555
hconres21-95,560
hconres22-95,302
hconres22-95,376
hconres22-95,643
hconres23-95,134
hconres23-95,155
hconres23-95,195
hconres23-95,229
hconres23-95,284
hconres23-95,314
hconres23-95,318
hconres23-95,336
hconres23-95,411
hconres23-95,503
hconres23-95,556
hconres23-95,643
hconres23-95,725
hconres23-95,759
hconres23-95,793
hconres24-95,643
hconres24-95,803
hconres24-95,818
hconres24-95,899
hconres24-95,944
hconres24-95,959
hconres24-95,987
hconres24-95,996
hconres24-95,1029
hconres24-95,1087
hconres24-95,1101
hconres24-95,1209
hconres24-95,1213
hconres24-95,1254
hconres25-95,680
hconres26-95,697
hconres27-95,814
hconres28-95,842
hconres29-95,842
hconres30-95,842
hconres31-95,842
hconres32-95,842
hconres33-95,842
hconres34-95,863
hconres35-95,927
hconres36-95,929
hconres37-95,941
hconres38-95,969
hconres39-95,974
hconres40-95,974
hconres41-95,974
hconres42-95,974
hconres43-95,974
hconres44-95,974
hconres45-95,1239
hconres46-95,1239
hconres47-95,1249
hconres48-95,497
hconres49-95,707
hconres50-95,817
hconres51-95,341
hconres52-95,842
hconres53-95,1235
hconres54-95,1
hconres54-95,39
hconres54-95,138
hconres54-95,206
hconres54-95,213
hconres54-95,290
hconres54-95,296
hconres54-95,343
hconres54-95,394
hconres54-95,480
hconres54-95,490
hconres54-95,580
hconres54-95,629
hconres54-95,633
hconres54-95,698
hconres54-95,707
hconres54-95,757
hconres54-95,769
hconres54-95,817
hconres54-95,827
hconres54-95,863
hconres54-95,1084
hconres54-95,1191
hconres54-95,1198
hconres54-95,1221
hconres55-95,580
hconres56-95,1
hconres56-95,39
hconres56-95,42
hconres56-95,67
hconres56-95,147
hconres56-95,249
hconres56-95,338
hconres56-95,440
hconres56-95,457
hconres56-95,480
hconres56-95,497
hconres56-95,507
hconres56-95,581
hconres56-95,633
hconres56-95,707
hconres56-95,712
hconres56-95,738
hconres56-95,767
hconres56-95,827
hconres56-95,830
hconres56-95,847
hconres56-95,970
hconres56-95,992
hconres56-95,1039
hconres56-95,1154
hconres57-95,40
hconres57-95,150
hconres57-95,643
hconres57-95,821
hconres58-95,372
hconres59-95,1217
hconres60-95,6
hconres60-95,7
hconres60-95,16
hconres60-95,17
hconres60-95,32
hconres60-95,40
hconres60-95,49
hconres60-95,66
hconres60-95,68
hconres60-95,76
hconres60-95,85
hconres60-95,90
hconres60-95,98
hconres60-95,104
hconres60-95,105
hconres60-95,108
hconres60-95,109
hconres60-95,117
hconres60-95,126
hconres60-95,131
hconres60-95,133
hconres60-95,134
hconres60-95,143
hconres60-95,150
hconres60-95,155
hconres61-95,90
hconres61-95,156
hconres61-95,184
hconres61-95,195
hconres61-95,203
hconres61-95,215
hconres61-95,220
hconres61-95,228
hconres61-95,229
hconres61-95,234
hconres61-95,236
hconres61-95,237
hconres61-95,239
hconres61-95,240
hconres61-95,275
hconres61-95,284
hconres61-95,297
hconres61-95,298
hconres61-95,314
hconres61-95,318
hconres61-95,323
hconres61-95,334
hconres61-95,336
hconres61-95,341
hconres61-95,352
hconres62-95,90
hconres62-95,360
hconres62-95,370
hconres62-95,372
hconres62-95,376
hconres62-95,382
hconres62-95,384
hconres62-95,385
hconres62-95,391
hconres62-95,397
hconres62-95,400
hconres62-95,411
hconres62-95,415
hconres62-95,427
hconres62-95,437
hconres62-95,440
hconres62-95,443
hconres62-95,503
hconres62-95,505
hconres62-95,515
hconres62-95,555
hconres62-95,556
hconres62-95,560
hconres62-95,564
hconres62-95,572
hconres63-95,90
hconres63-95,589
hconres63-95,596
hconres63-95,614
hconres63-95,620
hconres63-95,630
hconres63-95,631
hconres63-95,643
hconres63-95,649
hconres63-95,675
hconres63-95,677
hconres63-95,678
hconres63-95,703
hconres63-95,704
hconres63-95,753
hconres63-95,759
hconres63-95,774
hconres63-95,781
hconres63-95,787
hconres63-95,793
hconres63-95,795
hconres63-95,802
hconres63-95,803
hconres63-95,808
hconres63-95,812
hconres64-95,90
hconres64-95,817
hconres64-95,818
hconres64-95,821
hconres64-95,831
hconres64-95,838
hconres64-95,842
hconres64-95,843
hconres64-95,848
hconres64-95,855
hconres64-95,866
hconres64-95,867
hconres64-95,870
hconres64-95,882
hconres64-95,888
hconres64-95,907
hconres64-95,929
hconres64-95,932
hconres64-95,940
hconres64-95,944
hconres64-95,954
hconres64-95,959
hconres64-95,974
hconres64-95,987
hconres64-95,996
hconres65-95,90
hconres65-95,1014
hconres65-95,1029
hconres65-95,1040
hconres65-95,1046
hconres65-95,1059
hconres65-95,1061
hconres65-95,1087
hconres65-95,1099
hconres65-95,1101
hconres65-95,1113
hconres65-95,1115
hconres65-95,1121
hconres65-95,1152
hconres65-95,1167
hconres65-95,1169
hconres65-95,1170
hconres65-95,1171
hconres65-95,1173
hconres65-95,1179
hconres65-95,1189
hconres65-95,1195
hconres65-95,1209
hconres65-95,1213
hconres65-95,1217
hconres66-95,90
hconres66-95,103
hconres66-95,333
hconres66-95,449
hconres66-95,1185
hconres66-95,1232
hconres66-95,1233
hconres66-95,1239
hconres66-95,1241
hconres66-95,1248
hconres66-95,1252
hconres66-95,1253
hconres66-95,1262
hconres67-95,221
hconres68-95,290
hconres68-95,830
hconres69-95,337
hconres70-95,422
hconres71-95,430
hconres72-95,440
hconres73-95,757
hconres74-95,973
hconres75-95,974
hconres76-95,974
hconres77-95,974
hconres78-95,54
hconres78-95,147
hconres78-95,148
hconres78-95,261
hconres78-95,310
hconres78-95,338
hconres78-95,490
hconres78-95,658
hconres78-95,731
hconres78-95,846
hconres78-95,847
hconres78-95,1000
hconres78-95,1168
hconres78-95,1196
hconres78-95,1232
hconres79-95,927
hconres80-95,927
hconres81-95,292
hconres82-95,440
hconres83-95,481
hconres84-95,940
hconres85-95,974
hconres86-95,974
hconres87-95,974
hconres88-95,974
hconres89-95,1039
hconres90-95,23
hconres90-95,36
hconres90-95,40
hconres90-95,239
hconres90-95,302
hconres90-95,314
hconres90-95,321
hconres90-95,334
hconres90-95,411
hconres90-95,672
hconres90-95,678
hconres90-95,725
hconres90-95,795
hconres90-95,802
hconres90-95,855
hconres90-95,918
hconres90-95,969
hconres90-95,983
hconres90-95,987
hconres90-95,1016
hconres90-95,1059
hconres90-95,1168
hconres90-95,1209
hconres90-95,1221
hconres90-95,1239
hconres91-95,54
hconres91-95,221
hconres91-95,249
hconres91-95,323
hconres91-95,338
hconres91-95,481
hconres91-95,580
hconres91-95,581
hconres91-95,707
hconres91-95,804
hconres91-95,872
hconres91-95,934
hconres91-95,974
hconres91-95,1160
hconres91-95,1168
hconres91-95,1196
hconres92-95,124
hconres92-95,261
hconres92-95,296
hconres92-95,827
hconres92-95,863
hconres92-95,929
hconres92-95,970
hconres92-95,1091
hconres92-95,1234
hconres93-95,15
hconres93-95,71
hconres93-95,90
hconres93-95,177
hconres93-95,321
hconres93-95,601
hconres93-95,713
hconres93-95,735
hconres93-95,872
hconres93-95,899
hconres93-95,1090
hconres93-95,1107
hconres94-95,220
hconres95-95,981
hconres96-95,290
hconres97-95,72
hconres97-95,76
hconres97-95,126
hconres97-95,156
hconres97-95,228
hconres97-95,240
hconres97-95,297
hconres97-95,338
hconres97-95,352
hconres97-95,451
hconres97-95,505
hconres97-95,553
hconres97-95,651
hconres97-95,703
hconres97-95,753
hconres97-95,802
hconres97-95,808
hconres97-95,821
hconres97-95,899
hconres97-95,944
hconres97-95,987
hconres97-95,1029
hconres97-95,1087
hconres97-95,1171
hconres97-95,1209
hconres98-95,66
hconres98-95,148
hconres98-95,155
hconres98-95,177
hconres98-95,249
hconres98-95,284
hconres98-95,302
hconres98-95,336
hconres98-95,443
hconres98-95,503
hconres98-95,643
hconres98-95,658
hconres98-95,675
hconres98-95,725
hconres98-95,821
hconres98-95,963
hconres98-95,1107
hconres98-95,1113
hconres98-95,1152
hconres98-95,1160
hconres98-95,1167
hconres98-95,1195
hconres98-95,1219
hconres98-95,1239
hconres98-95,1259
hconres99-95,26
hconres99-95,40
hconres99-95,108
hconres99-95,203
hconres99-95,314
hconres99-95,318
hconres99-95,341
hconres99-95,400
hconres99-95,625
hconres99-95,649
hconres99-95,736
hconres99-95,795
hconres99-95,820
hconres99-95,821
hconres99-95,872
hconres99-95,974
hconres99-95,1004
hconres99-95,1014
hconres99-95,1016
hconres99-95,1035
hconres99-95,1059
hconres99-95,1101
hconres99-95,1121
hconres99-95,1196
hconres99-95,1221
hconres100-95,117
hconres100-95,184
hconres100-95,237
hconres100-95,385
hconres100-95,440
hconres100-95,515
hconres100-95,572
hconres100-95,596
hconres100-95,781
hconres100-95,818
hconres100-95,821
hconres100-95,866
hconres100-95,1040
hconres101-95,66
hconres101-95,85
hconres101-95,90
hconres101-95,148
hconres101-95,184
hconres101-95,261
hconres101-95,440
hconres101-95,480
hconres101-95,505
hconres101-95,649
hconres101-95,651
hconres101-95,682
hconres101-95,731
hconres101-95,812
hconres101-95,818
hconres101-95,821
hconres101-95,831
hconres101-95,944
hconres101-95,978
hconres101-95,1087
hconres101-95,1090
hconres101-95,1107
hconres101-95,1239
hconres101-95,1253
hconres101-95,1259
hconres102-95,133
hconres103-95,292
hconres104-95,71
hconres104-95,481
hconres104-95,623
hconres104-95,1086
hconres105-95,1
hconres105-95,66
hconres105-95,71
hconres105-95,147
hconres105-95,185
hconres105-95,629
hconres105-95,678
hconres105-95,712
hconres105-95,827
hconres105-95,927
hconres105-95,936
hconres105-95,981
hconres105-95,1104
hconres105-95,1154
hconres105-95,1232
hconres106-95,1244
hconres107-95,490
hconres107-95,555
hconres107-95,682
hconres107-95,1039
hconres108-95,108
hconres108-95,440
hconres108-95,651
hconres108-95,927
hconres109-95,1221
hconres110-95,436
hconres111-95,493
hconres112-95,677
hconres113-95,625
hconres113-95,974
hconres114-95,625
hconres114-95,974
hconres115-95,625
hconres115-95,974
hconres116-95,625
hconres116-95,974
hconres117-95,336
hconres118-95,19
hconres118-95,42
hconres118-95,68
hconres118-95,143
hconres118-95,163
hconres118-95,181
hconres118-95,215
hconres118-95,259
hconres118-95,310
hconres118-95,341
hconres118-95,385
hconres118-95,440
hconres118-95,447
hconres118-95,555
hconres118-95,560
hconres118-95,572
hconres118-95,625
hconres118-95,658
