bill_id,thomas_id
hconres1-99,1244
hconres2-99,6
hconres2-99,80
hconres2-99,84
hconres2-99,103
hconres2-99,203
hconres2-99,264
hconres2-99,422
hconres2-99,537
hconres2-99,615
hconres2-99,616
hconres2-99,633
hconres2-99,658
hconres2-99,742
hconres2-99,743
hconres2-99,809
hconres2-99,820
hconres2-99,855
hconres2-99,865
hconres2-99,885
hconres2-99,891
hconres2-99,944
hconres2-99,951
hconres2-99,965
hconres2-99,1041
hconres2-99,1077
hconres2-99,1088
hconres2-99,1115
hconres2-99,1212
hconres2-99,1218
hconres2-99,1231
hconres3-99,228
hconres4-99,23
hconres5-99,135
hconres5-99,1026
hconres5-99,1116
hconres6-99,85
hconres6-99,111
hconres6-99,314
hconres6-99,361
hconres6-99,564
hconres6-99,615
hconres6-99,732
hconres6-99,1163
hconres7-99,6
hconres7-99,78
hconres7-99,85
hconres7-99,111
hconres7-99,142
hconres7-99,220
hconres7-99,245
hconres7-99,300
hconres7-99,314
hconres7-99,361
hconres7-99,372
hconres7-99,384
hconres7-99,392
hconres7-99,426
hconres7-99,440
hconres7-99,564
hconres7-99,615
hconres7-99,616
hconres7-99,657
hconres7-99,682
hconres7-99,684
hconres7-99,743
hconres7-99,771
hconres7-99,818
hconres7-99,840
hconres7-99,883
hconres7-99,940
hconres7-99,963
hconres7-99,1004
hconres7-99,1029
hconres7-99,1036
hconres7-99,1165
hconres8-99,1212
hconres9-99,89
hconres10-99,78
hconres10-99,220
hconres10-99,284
hconres10-99,301
hconres10-99,326
hconres10-99,327
hconres10-99,384
hconres10-99,429
hconres10-99,459
hconres10-99,515
hconres10-99,560
hconres10-99,616
hconres10-99,812
hconres10-99,818
hconres10-99,883
hconres10-99,958
hconres10-99,1020
hconres10-99,1036
hconres10-99,1115
hconres10-99,1209
hconres10-99,1236
hconres11-99,220
hconres12-99,39
hconres12-99,220
hconres12-99,1072
hconres12-99,1122
hconres13-99,25
hconres13-99,39
hconres13-99,84
hconres13-99,192
hconres13-99,249
hconres13-99,466
hconres13-99,498
hconres13-99,646
hconres13-99,968
hconres13-99,1000
hconres13-99,1058
hconres13-99,1072
hconres13-99,1088
hconres13-99,1098
hconres13-99,1122
hconres13-99,1167
hconres14-99,422
hconres15-99,7
hconres15-99,55
hconres15-99,82
hconres15-99,85
hconres15-99,116
hconres15-99,154
hconres15-99,157
hconres15-99,189
hconres15-99,459
hconres15-99,589
hconres15-99,663
hconres15-99,732
hconres15-99,774
hconres15-99,952
hconres15-99,963
hconres15-99,974
hconres15-99,1036
hconres15-99,1237
hconres16-99,589
hconres17-99,589
hconres18-99,300
hconres18-99,637
hconres18-99,820
hconres18-99,824
hconres18-99,1085
hconres19-99,71
hconres19-99,108
hconres19-99,214
hconres19-99,374
hconres19-99,407
hconres19-99,432
hconres19-99,743
hconres19-99,890
hconres19-99,1163
hconres20-99,974
hconres21-99,646
hconres21-99,974
hconres22-99,974
hconres23-99,958
hconres23-99,974
hconres24-99,4
hconres24-99,6
hconres24-99,23
hconres24-99,34
hconres24-99,39
hconres24-99,55
hconres24-99,64
hconres24-99,78
hconres24-99,80
hconres24-99,82
hconres24-99,84
hconres24-99,85
hconres24-99,97
hconres24-99,104
hconres24-99,106
hconres24-99,111
hconres24-99,116
hconres24-99,134
hconres24-99,142
hconres24-99,158
hconres24-99,178
hconres24-99,189
hconres24-99,220
hconres24-99,228
hconres24-99,231
hconres24-99,240
hconres24-99,241
hconres24-99,268
hconres24-99,299
hconres24-99,300
hconres24-99,326
hconres24-99,327
hconres24-99,328
hconres24-99,331
hconres24-99,334
hconres24-99,338
hconres24-99,350
hconres24-99,361
hconres24-99,372
hconres24-99,374
hconres24-99,375
hconres24-99,378
hconres24-99,384
hconres24-99,392
hconres24-99,407
hconres24-99,415
hconres24-99,419
hconres24-99,429
hconres24-99,431
hconres24-99,441
hconres24-99,463
hconres24-99,487
hconres24-99,516
hconres24-99,526
hconres24-99,532
hconres24-99,564
hconres24-99,572
hconres24-99,580
hconres24-99,602
hconres24-99,615
hconres24-99,616
hconres24-99,625
hconres24-99,628
hconres24-99,631
hconres24-99,637
hconres24-99,645
