bill_id,thomas_id
hconres1-100,397
hconres2-100,397
hconres3-100,128
hconres4-100,220
hconres5-100,4
hconres5-100,26
hconres5-100,34
hconres5-100,36
hconres5-100,54
hconres5-100,64
hconres5-100,78
hconres5-100,82
hconres5-100,89
hconres5-100,97
hconres5-100,108
hconres5-100,116
hconres5-100,142
hconres5-100,158
hconres5-100,174
hconres5-100,200
hconres5-100,220
hconres5-100,228
hconres5-100,266
hconres5-100,268
hconres5-100,275
hconres5-100,279
hconres5-100,282
hconres5-100,300
hconres5-100,308
hconres5-100,310
hconres5-100,326
hconres5-100,327
hconres5-100,331
hconres5-100,350
hconres5-100,361
hconres5-100,372
hconres5-100,373
hconres5-100,374
hconres5-100,375
hconres5-100,384
hconres5-100,392
hconres5-100,407
hconres5-100,415
hconres5-100,419
hconres5-100,440
hconres5-100,443
hconres5-100,463
hconres5-100,476
hconres5-100,516
hconres5-100,546
hconres5-100,560
hconres5-100,566
hconres5-100,572
hconres5-100,580
hconres5-100,593
hconres5-100,616
hconres5-100,631
hconres5-100,645
hconres5-100,658
hconres5-100,663
hconres5-100,683
hconres5-100,684
hconres5-100,694
hconres5-100,710
hconres5-100,713
hconres5-100,732
hconres5-100,742
hconres5-100,743
hconres5-100,758
hconres5-100,771
hconres5-100,799
hconres5-100,812
hconres5-100,822
hconres5-100,828
hconres5-100,835
hconres5-100,840
hconres5-100,905
hconres5-100,907
hconres5-100,912
hconres5-100,923
hconres5-100,944
hconres5-100,963
hconres5-100,971
hconres5-100,974
hconres5-100,1022
hconres5-100,1023
hconres5-100,1029
hconres5-100,1034
hconres5-100,1036
hconres5-100,1067
hconres5-100,1069
hconres5-100,1077
hconres5-100,1115
hconres5-100,1133
hconres5-100,1163
hconres5-100,1165
hconres5-100,1166
hconres5-100,1173
hconres5-100,1195
hconres5-100,1214
hconres5-100,1232
hconres5-100,1238
hconres5-100,1240
hconres5-100,1243
hconres5-100,1247
hconres5-100,1252
hconres6-100,97
hconres6-100,114
hconres6-100,249
hconres6-100,282
hconres6-100,441
hconres6-100,476
hconres6-100,490
hconres6-100,554
hconres6-100,1122
hconres7-100,28
hconres7-100,39
hconres7-100,47
hconres7-100,50
hconres7-100,78
hconres7-100,89
hconres7-100,135
hconres7-100,209
hconres7-100,241
hconres7-100,246
hconres7-100,249
hconres7-100,264
hconres7-100,268
hconres7-100,270
hconres7-100,282
hconres7-100,300
hconres7-100,310
hconres7-100,321
hconres7-100,338
hconres7-100,342
hconres7-100,373
hconres7-100,380
hconres7-100,384
hconres7-100,426
hconres7-100,490
hconres7-100,510
hconres7-100,532
hconres7-100,533
hconres7-100,563
hconres7-100,583
hconres7-100,625
hconres7-100,647
hconres7-100,658
hconres7-100,682
hconres7-100,691
hconres7-100,771
hconres7-100,830
hconres7-100,865
hconres7-100,890
hconres7-100,923
hconres7-100,1023
hconres7-100,1026
hconres7-100,1034
hconres7-100,1047
hconres7-100,1097
hconres7-100,1122
hconres7-100,1130
hconres7-100,1190
hconres7-100,1214
hconres8-100,28
hconres8-100,39
hconres8-100,97
hconres8-100,154
hconres8-100,246
hconres8-100,264
hconres8-100,282
hconres8-100,310
hconres8-100,441
hconres8-100,583
hconres8-100,923
hconres8-100,1082
hconres8-100,1122
hconres8-100,1130
hconres9-100,304
hconres10-100,78
hconres10-100,85
hconres10-100,154
hconres10-100,246
hconres10-100,264
hconres10-100,310
hconres10-100,373
hconres10-100,384
hconres10-100,658
hconres10-100,690
hconres10-100,694
hconres10-100,798
hconres10-100,1023
hconres10-100,1077
hconres10-100,1177
hconres11-100,579
hconres11-100,820
hconres11-100,824
hconres11-100,859
hconres11-100,1085
hconres12-100,80
hconres12-100,968
hconres13-100,372
hconres14-100,4
hconres14-100,7
hconres14-100,23
hconres14-100,28
hconres14-100,34
hconres14-100,36
hconres14-100,54
hconres14-100,64
hconres14-100,65
hconres14-100,78
hconres14-100,80
hconres14-100,82
hconres14-100,85
hconres14-100,89
hconres14-100,96
hconres14-100,108
hconres14-100,116
hconres14-100,134
hconres14-100,142
hconres14-100,144
hconres14-100,154
hconres14-100,158
hconres14-100,174
hconres14-100,189
hconres14-100,220
hconres14-100,228
hconres14-100,229
hconres14-100,231
hconres14-100,240
hconres14-100,241
hconres14-100,279
hconres14-100,282
hconres14-100,293
hconres14-100,310
hconres14-100,326
hconres14-100,327
hconres14-100,331
hconres14-100,356
hconres14-100,361
hconres14-100,370
hconres14-100,372
hconres14-100,373
hconres14-100,374
hconres14-100,375
hconres14-100,384
hconres14-100,407
hconres14-100,415
hconres14-100,419
hconres14-100,429
hconres14-100,440
hconres14-100,459
hconres14-100,460
hconres14-100,463
hconres14-100,487
hconres14-100,516
hconres14-100,534
hconres14-100,560
hconres14-100,564
hconres14-100,566
hconres14-100,572
hconres14-100,580
hconres14-100,583
hconres14-100,593
hconres14-100,602
hconres14-100,616
hconres14-100,625
hconres14-100,631
hconres14-100,645
hconres14-100,649
hconres14-100,658
hconres14-100,663
hconres14-100,682
hconres14-100,683
hconres14-100,684
hconres14-100,694
hconres14-100,708
hconres14-100,713
hconres14-100,721
hconres14-100,732
hconres14-100,735
hconres14-100,743
hconres14-100,751
hconres14-100,771
hconres14-100,774
hconres14-100,783
hconres14-100,812
hconres14-100,830
hconres14-100,835
hconres14-100,840
hconres14-100,855
hconres14-100,876
hconres14-100,883
hconres14-100,884
hconres14-100,905
hconres14-100,923
hconres14-100,944
hconres14-100,958
hconres14-100,963
hconres14-100,965
hconres14-100,971
hconres14-100,973
hconres14-100,1022
hconres14-100,1023
hconres14-100,1029
hconres14-100,1062
hconres14-100,1069
hconres14-100,1071
hconres14-100,1077
hconres14-100,1087
hconres14-100,1088
hconres14-100,1101
hconres14-100,1115
hconres14-100,1117
hconres14-100,1121
hconres14-100,1163
hconres14-100,1165
hconres14-100,1166
hconres14-100,1173
hconres14-100,1185
hconres14-100,1189
hconres14-100,1209
hconres14-100,1212
hconres14-100,1213
hconres14-100,1238
hconres14-100,1240
hconres14-100,1243
hconres15-100,47
hconres15-100,50
hconres15-100,64
hconres15-100,77
hconres15-100,84
hconres15-100,85
hconres15-100,146
hconres15-100,154
hconres15-100,190
hconres15-100,209
hconres15-100,228
hconres15-100,245
hconres15-100,289
hconres15-100,300
hconres15-100,304
hconres15-100,329
hconres15-100,331
hconres15-100,342
hconres15-100,345
hconres15-100,373
hconres15-100,392
hconres15-100,419
hconres15-100,429
hconres15-100,510
hconres15-100,517
hconres15-100,533
hconres15-100,537
hconres15-100,572
hconres15-100,575
hconres15-100,579
hconres15-100,604
hconres15-100,616
hconres15-100,628
hconres15-100,658
hconres15-100,682
hconres15-100,707
hconres15-100,713
hconres15-100,722
hconres15-100,751
hconres15-100,768
hconres15-100,782
hconres15-100,809
hconres15-100,822
hconres15-100,844
hconres15-100,847
hconres15-100,865
hconres15-100,883
hconres15-100,890
hconres15-100,909
hconres15-100,912
hconres15-100,923
hconres15-100,944
hconres15-100,977
hconres15-100,989
hconres15-100,1020
hconres15-100,1032
hconres15-100,1034
hconres15-100,1041
hconres15-100,1088
hconres15-100,1092
hconres15-100,1136
hconres15-100,1165
hconres15-100,1178
hconres15-100,1190
hconres15-100,1224
hconres15-100,1238
hconres15-100,1255
hconres16-100,820
hconres17-100,974
hconres18-100,88
hconres18-100,111
hconres18-100,974
hconres19-100,4
hconres19-100,85
hconres19-100,88
hconres19-100,116
hconres19-100,154
hconres19-100,275
hconres19-100,279
hconres19-100,310
hconres19-100,372
hconres19-100,384
hconres19-100,429
hconres19-100,466
hconres19-100,589
hconres19-100,663
hconres19-100,732
hconres19-100,743
hconres19-100,794
hconres19-100,883
hconres19-100,907
hconres19-100,973
hconres19-100,974
hconres19-100,1004
hconres19-100,1077
hconres19-100,1082
hconres19-100,1232
hconres20-100,589
hconres21-100,34
hconres21-100,116
hconres21-100,327
hconres21-100,698
hconres21-100,820
hconres21-100,855
hconres21-100,875
hconres22-100,855
hconres23-100,855
hconres24-100,47
hconres24-100,103
hconres24-100,517
hconres24-100,554
hconres24-100,569
hconres24-100,696
hconres24-100,974
hconres24-100,975
hconres24-100,1140
hconres25-100,472
hconres26-100,4
hconres26-100,33
hconres26-100,34
hconres26-100,36
hconres26-100,80
hconres26-100,128
hconres26-100,158
hconres26-100,189
hconres26-100,220
hconres26-100,284
hconres26-100,308
hconres26-100,336
hconres26-100,361
hconres26-100,372
hconres26-100,374
hconres26-100,460
hconres26-100,476
hconres26-100,532
hconres26-100,572
hconres26-100,616
hconres26-100,663
hconres26-100,683
hconres26-100,684
hconres26-100,713
hconres26-100,732
hconres26-100,751
hconres26-100,835
hconres26-100,840
hconres26-100,876
hconres26-100,906
hconres26-100,907
hconres26-100,1033
hconres26-100,1057
hconres26-100,1115
hconres26-100,1247
hconres27-100,25
hconres27-100,89
hconres27-100,106
hconres27-100,142
hconres27-100,154
hconres27-100,270
hconres27-100,297
hconres27-100,310
hconres27-100,313
hconres27-100,336
hconres27-100,361
hconres27-100,392
hconres27-100,459
hconres27-100,490
hconres27-100,504
hconres27-100,525
hconres27-100,595
hconres27-100,604
hconres27-100,613
hconres27-100,615
hconres27-100,616
hconres27-100,626
hconres27-100,673
hconres27-100,768
hconres27-100,799
hconres27-100,827
hconres27-100,844
hconres27-100,897
hconres27-100,906
hconres27-100,958
hconres27-100,960
hconres27-100,971
hconres27-100,993
hconres27-100,994
hconres27-100,1071
hconres27-100,1082
hconres27-100,1088
hconres27-100,1095
hconres27-100,1110
hconres27-100,1122
hconres27-100,1163
hconres27-100,1249
hconres27-100,1253
hconres28-100,4
hconres28-100,34
hconres28-100,39
hconres28-100,61
hconres28-100,85
hconres28-100,89
hconres28-100,116
hconres28-100,122
hconres28-100,128
hconres28-100,142
hconres28-100,144
hconres28-100,154
hconres28-100,158
hconres28-100,200
hconres28-100,217
hconres28-100,264
hconres28-100,266
hconres28-100,293
hconres28-100,310
hconres28-100,327
hconres28-100,345
hconres28-100,384
hconres28-100,440
hconres28-100,490
hconres28-100,516
hconres28-100,546
hconres28-100,554
hconres28-100,560
hconres28-100,579
hconres28-100,602
hconres28-100,613
hconres28-100,616
hconres28-100,631
hconres28-100,647
hconres28-100,658
hconres28-100,663
hconres28-100,694
hconres28-100,698
hconres28-100,717
hconres28-100,742
hconres28-100,758
hconres28-100,765
hconres28-100,768
hconres28-100,774
hconres28-100,794
hconres28-100,812
hconres28-100,827
hconres28-100,828
hconres28-100,905
hconres28-100,940
hconres28-100,960
hconres28-100,974
hconres28-100,993
hconres28-100,1004
hconres28-100,1057
hconres28-100,1067
hconres28-100,1075
hconres28-100,1082
hconres28-100,1085
hconres28-100,1087
hconres28-100,1088
hconres28-100,1093
hconres28-100,1097
hconres28-100,1136
hconres28-100,1166
hconres28-100,1178
hconres28-100,1185
hconres28-100,1189
hconres28-100,1195
hconres28-100,1212
hconres28-100,1214
hconres28-100,1238
hconres28-100,1253
hconres28-100,1255
hconres28-100,1256
hconres29-100,128
hconres30-100,4
hconres30-100,7
hconres30-100,10
hconres30-100,16
hconres30-100,20
hconres30-100,26
hconres30-100,28
hconres30-100,34
hconres30-100,36
hconres30-100,39
hconres30-100,47
hconres30-100,50
hconres30-100,54
hconres30-100,61
hconres30-100,64
hconres30-100,65
