bill_id,thomas_id
hconres1-112,317
hconres2-112,1640
hconres3-112,62
hconres3-112,154
hconres3-112,484
hconres3-112,603
hconres3-112,699
hconres3-112,733
hconres3-112,900
hconres3-112,977
hconres3-112,1255
hconres3-112,1256
hconres3-112,1468
hconres3-112,1527
hconres3-112,1584
hconres3-112,1657
hconres3-112,1748
hconres3-112,1751
hconres3-112,1806
hconres3-112,1855
hconres3-112,1863
hconres3-112,1882
hconres3-112,1885
hconres3-112,1886
hconres3-112,1920
hconres3-112,1955
hconres3-112,1956
hconres3-112,1960
hconres3-112,1989
hconres3-112,2014
hconres3-112,2021
hconres4-112,381
hconres4-112,587
hconres4-112,616
hconres4-112,868
hconres4-112,1794
hconres5-112,1688
hconres6-112,688
hconres7-112,511
hconres7-112,910
hconres7-112,1481
hconres7-112,1879
hconres7-112,1974
hconres8-112,1042
hconres9-112,666
hconres9-112,1466
hconres9-112,1724
hconres9-112,1845
hconres9-112,1846
hconres10-112,1674
hconres11-112,381
hconres11-112,688
hconres11-112,1101
hconres11-112,1242
hconres11-112,1501
hconres11-112,1504
hconres11-112,1580
hconres11-112,1634
hconres11-112,1708
hconres11-112,1811
hconres12-112,4
hconres12-112,21
hconres12-112,82
hconres12-112,132
hconres12-112,281
hconres12-112,344
hconres12-112,381
hconres12-112,407
hconres12-112,414
hconres12-112,462
hconres12-112,511
hconres12-112,616
hconres12-112,635
hconres12-112,699
hconres12-112,709
hconres12-112,729
hconres12-112,735
hconres12-112,832
hconres12-112,850
hconres12-112,854
hconres12-112,887
hconres12-112,902
hconres12-112,985
hconres12-112,1071
hconres12-112,1165
hconres12-112,1209
hconres12-112,1238
hconres12-112,1469
hconres12-112,1471
hconres12-112,1503
hconres12-112,1504
hconres12-112,1510
hconres12-112,1520
hconres12-112,1526
hconres12-112,1535
hconres12-112,1555
hconres12-112,1564
hconres12-112,1576
hconres12-112,1580
hconres12-112,1583
hconres12-112,1588
hconres12-112,1597
hconres12-112,1604
hconres12-112,1635
hconres12-112,1640
hconres12-112,1648
hconres12-112,1663
hconres12-112,1667
hconres12-112,1685
hconres12-112,1686
hconres12-112,1737
hconres12-112,1740
hconres12-112,1756
hconres12-112,1777
hconres12-112,1780
hconres12-112,1797
hconres12-112,1798
hconres12-112,1818
hconres12-112,1838
hconres12-112,1854
hconres12-112,1856
hconres12-112,1857
hconres12-112,1870
hconres12-112,1878
hconres12-112,1895
hconres12-112,1913
hconres12-112,1916
hconres12-112,1929
hconres12-112,1930
hconres12-112,1934
hconres12-112,1936
hconres12-112,1959
hconres12-112,1976
hconres12-112,2004
hconres12-112,2005
hconres12-112,2006
hconres12-112,2012
hconres12-112,2025
hconres12-112,2039
hconres12-112,2040
hconres12-112,2041
hconres12-112,2042
hconres12-112,2055
hconres13-112,38
hconres13-112,60
hconres13-112,165
hconres13-112,166
hconres13-112,446
hconres13-112,484
hconres13-112,612
hconres13-112,636
hconres13-112,733
hconres13-112,940
hconres13-112,1103
hconres13-112,1177
hconres13-112,1238
hconres13-112,1256
hconres13-112,1460
hconres13-112,1481
hconres13-112,1584
hconres13-112,1590
hconres13-112,1632
hconres13-112,1643
hconres13-112,1649
hconres13-112,1655
hconres13-112,1681
hconres13-112,1683
hconres13-112,1685
hconres13-112,1688
hconres13-112,1720
hconres13-112,1724
hconres13-112,1727
hconres13-112,1731
hconres13-112,1732
hconres13-112,1733
hconres13-112,1737
hconres13-112,1741
hconres13-112,1748
hconres13-112,1751
hconres13-112,1753
hconres13-112,1758
hconres13-112,1779
hconres13-112,1781
hconres13-112,1784
hconres13-112,1791
hconres13-112,1796
hconres13-112,1802
hconres13-112,1805
hconres13-112,1855
hconres13-112,1882
hconres13-112,1885
hconres13-112,1912
hconres13-112,1921
hconres13-112,1933
hconres13-112,1954
hconres13-112,1956
hconres13-112,1990
hconres13-112,2003
hconres13-112,2019
hconres13-112,2022
hconres13-112,2028
hconres13-112,2034
hconres13-112,2036
hconres13-112,2050
hconres13-112,2063
hconres13-112,2065
hconres13-112,2066
hconres13-112,2070
hconres14-112,1649
hconres14-112,1816
hconres14-112,1993
hconres14-112,2065
hconres15-112,1474
hconres16-112,566
hconres16-112,832
hconres16-112,868
hconres16-112,1238
hconres16-112,1729
hconres16-112,1894
hconres16-112,1959
hconres17-112,2008
hconres18-112,381
hconres18-112,1526
hconres18-112,1947
hconres19-112,91
hconres19-112,132
hconres19-112,256
hconres19-112,381
hconres19-112,511
hconres19-112,588
hconres19-112,599
hconres19-112,688
hconres19-112,735
hconres19-112,868
hconres19-112,944
hconres19-112,1037
hconres19-112,1042
hconres19-112,1151
hconres19-112,1205
hconres19-112,1207
hconres19-112,1242
hconres19-112,1469
hconres19-112,1501
hconres19-112,1504
hconres19-112,1506
hconres19-112,1555
hconres19-112,1580
hconres19-112,1602
hconres19-112,1614
hconres19-112,1632
hconres19-112,1634
hconres19-112,1654
hconres19-112,1722
hconres19-112,1723
