bill_id,thomas_id
hconres1-96,117
hconres2-96,481
hconres3-96,842
hconres4-96,6
hconres4-96,23
hconres4-96,85
hconres4-96,314
hconres4-96,392
hconres4-96,657
hconres4-96,814
hconres4-96,820
hconres4-96,888
hconres4-96,963
hconres4-96,973
hconres4-96,1004
hconres4-96,1185
hconres4-96,1262
hconres5-96,71
hconres5-96,72
hconres5-96,109
hconres5-96,302
hconres5-96,314
hconres5-96,334
hconres5-96,501
hconres5-96,818
hconres5-96,821
hconres5-96,882
hconres5-96,1087
hconres5-96,1101
hconres5-96,1185
hconres6-96,90
hconres7-96,221
hconres7-96,248
hconres7-96,357
hconres7-96,759
hconres7-96,767
hconres7-96,1132
hconres8-96,318
hconres9-96,357
hconres10-96,26
hconres10-96,36
hconres10-96,43
hconres10-96,69
hconres10-96,80
hconres10-96,94
hconres10-96,108
hconres10-96,128
hconres10-96,143
hconres10-96,180
hconres10-96,184
hconres10-96,248
hconres10-96,267
hconres10-96,290
hconres10-96,296
hconres10-96,298
hconres10-96,310
hconres10-96,349
hconres10-96,362
hconres10-96,376
hconres10-96,382
hconres10-96,403
hconres10-96,415
hconres10-96,440
hconres10-96,441
hconres10-96,445
hconres10-96,447
hconres10-96,480
hconres10-96,485
hconres10-96,553
hconres10-96,555
hconres10-96,560
hconres10-96,580
hconres10-96,625
hconres10-96,633
hconres10-96,658
hconres10-96,673
hconres10-96,676
hconres10-96,700
hconres10-96,710
hconres10-96,717
hconres10-96,724
hconres10-96,767
hconres10-96,769
hconres10-96,799
hconres10-96,818
hconres10-96,841
hconres10-96,870
hconres10-96,882
hconres10-96,888
hconres10-96,917
hconres10-96,970
hconres10-96,989
hconres10-96,999
hconres10-96,1029
hconres10-96,1088
hconres10-96,1098
hconres10-96,1132
hconres10-96,1168
hconres10-96,1195
hconres10-96,1200
hconres10-96,1219
hconres10-96,1233
hconres10-96,1235
hconres10-96,1239
hconres10-96,1240
hconres10-96,1241
hconres10-96,1248
hconres10-96,1261
hconres11-96,480
hconres12-96,497
hconres13-96,497
hconres14-96,497
hconres15-96,7
hconres15-96,9
hconres15-96,36
hconres15-96,42
hconres15-96,49
hconres15-96,54
hconres15-96,71
hconres15-96,80
hconres15-96,94
hconres15-96,124
hconres15-96,143
hconres15-96,147
hconres15-96,162
hconres15-96,178
hconres15-96,195
hconres15-96,214
