bill_id,thomas_id
hconres1-106,28
hconres2-106,28
hconres3-106,211
hconres4-106,1042
hconres5-106,2
hconres5-106,48
hconres5-106,58
hconres5-106,79
hconres5-106,108
hconres5-106,111
hconres5-106,136
hconres5-106,204
hconres5-106,205
hconres5-106,247
hconres5-106,281
hconres5-106,299
hconres5-106,355
hconres5-106,367
hconres5-106,381
hconres5-106,396
hconres5-106,407
hconres5-106,419
hconres5-106,478
hconres5-106,541
hconres5-106,559
hconres5-106,588
hconres5-106,592
hconres5-106,624
hconres5-106,663
hconres5-106,701
hconres5-106,709
hconres5-106,729
hconres5-106,788
hconres5-106,805
hconres5-106,808
hconres5-106,815
hconres5-106,833
hconres5-106,849
hconres5-106,868
hconres5-106,905
hconres5-106,997
hconres5-106,1010
hconres5-106,1069
hconres5-106,1092
hconres5-106,1166
hconres5-106,1242
hconres5-106,1251
hconres5-106,1471
hconres5-106,1473
hconres5-106,1474
hconres5-106,1477
hconres5-106,1483
hconres5-106,1497
hconres5-106,1500
hconres5-106,1501
hconres5-106,1503
hconres5-106,1526
hconres5-106,1528
hconres5-106,1530
hconres5-106,1531
hconres5-106,1565
hconres5-106,1577
hconres5-106,1582
hconres5-106,1593
hconres5-106,1602
hconres6-106,136
hconres6-106,154
hconres6-106,242
hconres6-106,282
hconres6-106,440
hconres6-106,575
hconres6-106,635
hconres6-106,663
hconres6-106,694
hconres6-106,902
hconres6-106,905
hconres6-106,921
hconres6-106,923
hconres6-106,939
hconres6-106,979
hconres6-106,985
hconres6-106,1071
hconres6-106,1091
hconres6-106,1238
hconres6-106,1592
hconres7-106,38
hconres7-106,57
hconres7-106,58
hconres7-106,79
hconres7-106,80
hconres7-106,82
hconres7-106,99
hconres7-106,108
hconres7-106,170
hconres7-106,265
hconres7-106,301
hconres7-106,306
hconres7-106,368
hconres7-106,381
hconres7-106,448
hconres7-106,487
hconres7-106,533
hconres7-106,562
hconres7-106,616
hconres7-106,624
hconres7-106,667
hconres7-106,672
hconres7-106,743
hconres7-106,773
hconres7-106,815
hconres7-106,833
hconres7-106,850
hconres7-106,862
hconres7-106,893
hconres7-106,900
hconres7-106,990
hconres7-106,1157
hconres7-106,1177
hconres7-106,1197
hconres7-106,1216
hconres7-106,1222
hconres7-106,1238
hconres7-106,1471
hconres7-106,1481
hconres7-106,1517
hconres7-106,1520
