bill_id,thomas_id
hconres1-94,874
hconres2-94,23
hconres3-94,23
hconres4-94,23
hconres4-94,996
hconres5-94,23
hconres6-94,23
hconres7-94,220
hconres8-94,220
hconres9-94,227
hconres10-94,227
hconres11-94,290
hconres12-94,384
hconres13-94,384
hconres14-94,422
hconres15-94,422
hconres16-94,522
hconres17-94,555
hconres18-94,620
hconres19-94,842
hconres20-94,842
hconres21-94,842
hconres22-94,842
hconres23-94,842
hconres24-94,842
hconres25-94,842
hconres26-94,842
hconres27-94,59
hconres27-94,895
hconres28-94,913
hconres29-94,915
hconres30-94,974
hconres31-94,974
hconres32-94,974
hconres33-94,974
hconres34-94,1124
hconres35-94,128
hconres36-94,227
hconres37-94,280
hconres38-94,842
hconres39-94,915
hconres40-94,1255
hconres41-94,280
hconres42-94,1221
hconres43-94,560
hconres44-94,895
hconres45-94,969
hconres46-94,117
hconres46-94,770
hconres46-94,954
hconres47-94,318
hconres48-94,3
hconres48-94,16
hconres48-94,40
hconres48-94,73
hconres48-94,75
hconres48-94,103
hconres48-94,134
hconres48-94,150
hconres48-94,155
hconres48-94,156
hconres48-94,228
hconres48-94,336
hconres48-94,370
hconres48-94,372
hconres48-94,445
hconres48-94,503
hconres48-94,614
hconres48-94,749
hconres48-94,759
hconres48-94,781
hconres48-94,838
hconres48-94,843
hconres48-94,866
hconres48-94,872
hconres48-94,1033
hconres49-94,90
hconres49-94,290
hconres49-94,907
hconres49-94,944
hconres49-94,961
hconres49-94,963
hconres49-94,973
hconres49-94,983
hconres49-94,987
hconres49-94,996
hconres49-94,1001
hconres49-94,1006
hconres49-94,1033
hconres49-94,1039
hconres49-94,1040
hconres49-94,1101
hconres49-94,1131
hconres49-94,1152
hconres49-94,1173
hconres50-94,1219
hconres51-94,16
hconres52-94,318
hconres53-94,430
hconres54-94,445
hconres55-94,503
hconres56-94,757
hconres57-94,3
hconres57-94,5
hconres57-94,6
hconres57-94,14
hconres57-94,36
hconres57-94,40
hconres57-94,49
hconres57-94,66
hconres57-94,77
hconres57-94,85
hconres57-94,90
hconres57-94,109
hconres57-94,117
hconres57-94,120
hconres57-94,126
hconres57-94,134
hconres57-94,177
hconres57-94,234
hconres57-94,235
hconres57-94,239
hconres57-94,259
hconres57-94,263
hconres57-94,321
